table_name,column_name,data_type,is_primary_key,is_foreign_key,foreign_table,foreign_column,is_nullable,allowed_values,description,example_value,used_in_dashboard
students_1,student_id,object,1,0,,,0,,,2758bec7-dbb0-4bc7-ae51-7bcc277e4245,
students_1,slu_banner_id,object,0,0,,,0,,,B0100001,
students_1,first_name,object,0,0,,,0,,,Angela,
students_1,last_name,object,0,0,,,0,,,Lawrence,
students_1,preferred_name,object,0,0,,,1,,,Angela,
students_1,slu_email,object,0,0,,,0,,,alawrence.1@slu.edu,
students_1,personal_email,object,0,0,,,0,,,angela.lawrence1@example.com,
students_1,phone_e164,object,0,0,,,0,,,+17084435667,
students_1,program_name,object,0,0,,,0,,,MS Cybersecurity,
students_1,college_name,object,0,0,,,0,,,School of Science & Engineering,
students_1,concentration,object,0,0,,,0,,,Network Security,
students_1,start_term,object,0,0,,,0,,,Spring-2024,
students_1,grad_term,object,0,0,,,0,,,Fall-2025,
students_1,graduation_year,int64,0,0,,,0,,,2025,
students_1,visa_status,object,0,0,,,0,,,F1,
students_1,opt_status,object,0,0,,,0,,,None,
students_1,current_location_city,object,0,0,,,0,,,Bengaluru,
students_1,current_location_state,object,0,0,,,1,,,,
students_1,current_location_country,object,0,0,,,0,,,India,
students_1,linkedin_url,object,0,0,,,0,,,https://www.linkedin.com/in/slu-student-1,
employers_1,employer_id,object,1,0,,,0,,,403fdaa5-9274-4804-9525-903ee35f51d4,
employers_1,employer_name,object,0,0,,,0,,,Employer 0001,
employers_1,industry,object,0,0,,,0,,,Consulting,
employers_1,sub_industry,object,0,0,,,0,,,IT Services,
employers_1,company_size_band,object,0,0,,,0,,,Medium,
employers_1,hq_city,object,0,0,,,0,,,Dallas,
employers_1,hq_state,object,0,0,,,1,,,TX,
employers_1,hq_country,object,0,0,,,0,,,USA,
employers_1,website_url,object,0,0,,,0,,,https://www.example1.com,
employers_1,linkedin_url,object,0,0,,,0,,,https://www.linkedin.com/company/example-1,
employers_1,is_faang_company,int64,0,0,,,0,,,0,
employers_1,is_non_profit,int64,0,0,,,0,,,0,
employers_1,slu_partnership_type,object,0,0,,,0,,,Academic,
employers_1,slu_partnership_level,object,0,0,,,0,,,Silver,
employers_1,slu_partnership_status,object,0,0,,,0,,,Prospect,
employers_1,slu_partnership_start_date,object,0,0,,,0,,,2023-05-12,
employers_1,primary_contact_name,object,0,0,,,0,,,Jennifer Morris,
employers_1,primary_contact_title,object,0,0,,,0,,,Recruiter,
employers_1,primary_contact_email,object,0,0,,,0,,,contact1@example.com,
employers_1,primary_contact_phone,object,0,0,,,0,,,+14976801717,
jobs_1,job_id,object,1,0,,,0,,,2fd9c1b3-09e3-4410-b44a-5223c83fb49d,
jobs_1,student_id,object,1,0,,,0,,,9378e735-2832-4293-b24b-6943f4d5f935,
jobs_1,employer_id,object,1,0,,,0,,,67a1de16-2e27-49c8-861e-a4b710bf88e2,
jobs_1,job_title,object,0,0,,,0,,,Security Analyst,
jobs_1,job_family,object,0,0,,,0,,,Analytics,
jobs_1,job_level,object,0,0,,,0,,,Mid,
jobs_1,job_type,object,0,0,,,0,,,Full-time,
jobs_1,employment_mode,object,0,0,,,0,,,Remote,
jobs_1,location_city,object,0,0,,,0,,,Chicago,
jobs_1,location_state,object,0,0,,,1,,,IL,
jobs_1,location_country,object,0,0,,,0,,,USA,
jobs_1,offer_date,object,0,0,,,0,,,2025-03-31,
jobs_1,offer_accept_date,object,0,0,,,0,,,2025-04-01,
jobs_1,start_date,object,0,0,,,0,,,2025-04-21,
jobs_1,end_date,object,0,0,,,1,,,,
jobs_1,salary_currency,object,0,0,,,0,,,USD,
jobs_1,salary_base_annual,float64,0,0,,,0,,,86911.0,
jobs_1,bonus_target_pct,float64,0,0,,,0,,,15.84,
jobs_1,visa_type,object,0,0,,,0,,,None,
jobs_1,source_channel,object,0,0,,,0,,,Handshake,
jobs_1,created_at,object,0,0,,,0,,,2025-10-25T04:47:45,
events_1,event_id,object,1,0,,,0,,,de19592f-c9c2-424c-9232-7c17346efcba,
events_1,event_name,object,0,0,,,0,,,Webinar 0001 • Cloud & DevOps Pathways,
events_1,event_type,object,0,0,,,0,,,Webinar,
events_1,event_theme,object,0,0,,,0,,,Cloud & DevOps Pathways,
events_1,event_description,object,0,0,,,0,,,Join us for webinar on cloud & devops pathways.,
events_1,start_datetime,object,0,0,,,0,,,2025-11-28 18:00:00,
events_1,end_datetime,object,0,0,,,0,,,2025-11-28 21:00:00,
events_1,timezone,object,0,0,,,0,,,America/New_York,
events_1,delivery_mode,object,0,0,,,0,,,Virtual,
events_1,location_venue,object,0,0,,,0,,,Virtual Stage,
events_1,location_city,object,0,0,,,0,,,Online,
events_1,location_state,object,0,0,,,1,,,,
events_1,location_country,object,0,0,,,0,,,USA,
